Airport name,Year,January,February,March,April,May,June,July,August,September,October,November,December,Whole year
Herpuchi,2017,0,0,0,0,0,0,0,0,0,0,0,0,0
Honuu (Girl),2017,0,0,0,0,0,0,0,0,0,0,0,0,0
Khorey Vere,2017,0,0,0,0,0,0,0,0,0,0,0,0,0
remedy,2017,0,0,0,0,0,0,0,0,0,0,0,0,0
Cheboksary,2017,0,0,0,0,0,0,0,0,0,0,0,0,0
Chyegdomyn,2017,0,0,0,0,0,0,0,0,0,0,0,0,0
Chelyabinsk (Balandino),2017,95420,85285,95815,97507,121471,145982,168385,167058,147848,123262,109317,123395,1480745
Cherepovets,2017,0,0,0,0,0,0,0,0,0,0,0,0,0
Cherskiy,2017,0,0,0,0,0,0,0,0,0,0,0,0,0
Chizha,2017,0,0,0,0,0,0,0,0,0,0,0,0,0
Reads (tub),2017,22949,20034,21880,24637,27730,34182,43877,44256,34996,31015,25445,30091,361092
Çokurdah,2017,0,0,0,0,0,0,0,0,0,0,0,0,0
Çumikan,2017,0,0,0,0,0,0,0,0,0,0,0,0,0
Şarıpovo,2017,0,0,0,0,0,0,0,0,0,0,0,0,0
Shakhtars'k,2017,0,0,0,0,0,0,0,0,0,0,0,0,0
Şoyna,2017,0,0,0,0,0,0,0,0,0,0,0,0,0
Shushenskoe,2017,0,0,0,0,0,0,0,0,0,0,0,0,0
Egvekinot (Bay Cross),2017,0,0,0,0,0,0,0,0,0,0,0,0,0
Ekimçan,2017,0,0,0,0,0,0,0,0,0,0,0,0,0
Elista,2017,0,0,0,0,0,0,0,0,0,0,0,0,0
ESSO,2017,0,0,0,0,0,0,0,0,0,0,0,0,0
South kurilsk (Mendeleevo),2017,0,0,0,0,0,0,0,0,0,0,0,0,0
Yuzhno-(Khomutovo),2017,64779,60881,66912,68086,76581,93582,109292,115617,95252,81495,75396,82534,990407
Yakutsk,2017,49666,48331,62926,67360,68018,94852,106553,110232,89084,76601,62824,76041,912488
Yakutsk (Magan),2017,0,0,0,0,0,0,0,0,0,0,0,0,0
Yamburg,2017,5396,5711,5232,5613,5092,4847,4895,4826,5048,5155,4946,5160,61921
Yaroslavl (Tunoshna),2017,743,400,519,406,1223,2979,3650,3978,4669,1561,1653,1980,23761
Yartsevo,2017,0,0,0,0,0,0,0,0,0,0,0,0,0
Abakan,2016,10773,9328,10665,12014,14035,19881,22877,24326,17307,13986,12677,15261,183130
Aikhal,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Loss,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Amderma,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Anadyr,2016,2826,3684,4826,6537,7420,9898,11075,11788,9679,7010,8287,7548,90578
Anapa (Vitjazevo),2016,28780,27343,36550,45181,75407,235794,307103,311517,201545,69732,41604,125505,1506061
Antypayuta,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Apatite (Khibiny),2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Arkhangelsk (Vaskovo),2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Arkhangelsk (Talagy),2016,45914,45853,53087,51815,55299,70177,78358,81930,68676,62284,58171,61051,732615
Astrakhan (Narimanovo),2016,36148,36111,40325,45446,48395,43610,46268,47846,51882,49920,38759,44065,528775
Achinsk,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Trip,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Auctions,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Baykit,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Barnaul (Titov Name),2016,0,0,0,0,0,0,0,0,0,0,0,0,0
In Salah,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
white Mountain,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Belgorod,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Novy Urengoy,2016,3820,3480,4002,6828,5772,6329,7139,7027,5466,5709,6373,5631,67576
Belushi,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Usinsk,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
"Beringovsky (Branch PCF ""A / P Chukotka"")",2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Biisk,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Blagoveshchensk,2016,18439,16706,17807,18498,22099,29833,39056,40179,33853,30338,24499,26482,317789
Bovanenkovo,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Bogorodskoe,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Boguçanı,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Bodaybo,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Bratsk,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Bryansk,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Bugulma,2016,3012,2833,3360,4049,4363,5066,5776,5709,5175,4399,3888,4330,51960
Petrel,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Vanavara,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Varandey,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Верхневилюйск,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Vizhas,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Viljujsk,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Витим,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Vladivostok (Knevichi),2016,115906,116028,124260,127411,135081,163158,202382,214360,185677,164092,135443,153073,1836871
Vladikavkaz (Beslan),2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Vladimir,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Volgograd (Gumrak),2016,62595,53975,58740,56046,63678,70002,77608,78602,76860,77214,68881,67655,811856
Vologda,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Volokovaya,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Vorkuta,2016,2345,2354,3055,3325,2980,3547,3474,3453,2922,2286,2133,2898,34772
Voronezh (Chertovitskoe),2016,23090,24499,27976,30240,32951,44526,46675,49254,44595,41290,33243,36213,434552
Vuktyl,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Gelendzhik,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Gorno-Altaisk,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Terrible (North),2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Kervan,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Distance,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
deputy,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Dixon,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Dudinka,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Yeisk,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Ekaterinburg (Koltsovo),2016,251999,238625,270078,284869,337727,409763,470038,477828,443180,371376,323086,352597,4231166
Ekaterinburg (Uktus),2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Yelizovo (Avachinskiy),2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Pitorafik,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Erbogaçen,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Jigansk,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Zhukovsky,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Gulf Lawrence (Lawrence),2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Zeyskaya,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Zonalnoe,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Zыrjanka,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Ivanovo (Yuzhny),2016,520,1095,1270,1150,1437,1647,2301,2301,2965,1009,1346,1549,18590
Igarka,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Izhevsk,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Izhma,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Indiga,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Inta,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Yoshkar-Ola,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Irkutsk,2016,103835,98289,110499,110623,111033,151782,200518,206826,167426,134335,125598,138251,1659015
Harbin,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Kazan,2016,104797,101299,119120,130242,149914,190912,209417,227688,209974,179847,146037,160841,1930088
Kazachinskoye (Kazachinsko),2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Kaliningrad (Hrabrovo),2016,111647,97987,117454,109943,134567,155815,169861,173853,143539,130575,113878,132647,1591766
Kaluga,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Karatayka,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Starobachaty,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
cedar,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Kemerovo,2016,18985,15340,15946,19235,21697,28632,28993,30159,24705,21749,20610,22368,268419
Keperveem,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Ust-kut,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Kirov,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Kogalym,2016,9184,8742,9191,9212,9705,10211,10465,11062,9872,10304,9640,9781,117369
Kodinsk,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Kolpaşevo,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Komsomolsk-on-Amur,2016,635,1498,1304,283,262,63,71,121,175,1240,1658,665,7975
Kondinskoye,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Koryaki (Koryaksky),2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Kostroma,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Kotkin,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Kotlas,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Krasnodar (Paszkowski),2016,197915,185785,217502,209136,237768,257997,304341,319629,301027,282132,241810,250458,3005500
Krasnoselkup,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Krasnoyarsk (Emelyanovo),2016,110704,104886,113901,118361,130151,167763,197489,207115,182714,153504,151950,148958,1787496
Krasnoyarsk (Cheremshanka),2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Mound,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Kurilsk (Clear),2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Kursk (Eastern),2016,0,0,0,0,0,0,0,0,0,0,0,0,0
red,2016,761,1493,1355,1991,2771,3524,3950,3863,3270,3562,3512,2732,32784
Labozhskoe,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Zabaykalsk,2016,4568,4946,6053,6256,7677,8896,8550,8843,7464,7248,7185,7062,84748
Лешуконское,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Lipetsk,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Magadan (Magadan-13),2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Magadan (Falcon),2016,17491,18765,22127,22970,27267,34515,41412,44205,35329,31240,25871,29199,350391
Magnitogorsk,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Maikop,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Mom,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Manila,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
brand,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Makhachkala (Uytash),2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Mezhdurechensk,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Mezen,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Milkovo,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Mineral water,2016,138642,121224,134478,123239,142074,142747,160548,167304,156068,157231,136945,143682,1724182
Peaceful,2016,19010,18900,21246,22794,23997,27784,31166,33962,27232,21789,20757,24422,293059
Moscow (Bykovo),2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Moscow (Vnukovo),2016,722465,690371,821409,928587,1115556,1357627,1593017,1684963,1547635,1296902,1098739,1168843,14026114
Moscow (Domodedovo),2016,2046469,1758246,1926879,1895649,2200560,2764977,3320256,3360288,2929008,2370762,1939898,2410272,28923264
Moscow (Ostafyevo),2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Moscow (Sheremetyevo),2016,2255793,2179853,2465517,2552578,2759185,3037375,3386993,3413499,3198055,3008683,2663684,2811020,33732235
Мотыгино,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Murmansk,2016,50241,48393,55612,56558,62892,74921,81710,82308,73201,62984,55164,63999,767983
Cape Schmidt,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Cape-Stone,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Nadym,2016,10460,9587,10796,12446,15236,15652,17796,17759,15459,11754,12326,13570,162841
Nazran (Magas / Sleptsovskaya),2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Nalchik,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Naryan-Mar,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Nelkan,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Nerungri (Chulman),2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Nes,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Nižneangarsk,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Nizhnevartovsk,2016,46080,43834,49088,45616,44326,60173,69217,68607,56254,45822,42976,51999,623992
Nizhneudinsk,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Nizhny Novgorod (Strigino),2016,43542,45828,51168,48643,61393,81623,88390,89151,86748,72332,54485,65755,789058
lower Pesha,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Nikolaevsk-on-Amur,2016,2052,1975,2120,2584,2695,3181,3775,3425,3281,2939,2807,2803,33637
Nikolskoye,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Novokuznetsk,2016,13611,11663,12593,13985,15267,17513,20182,19388,15153,14804,15023,15380,184562
Novosibirsk (North),2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Novosibirsk (Tolmachyovo),2016,240938,221977,249905,257789,292766,392163,455780,462530,410204,341522,294570,329104,3949248
New Urengoy,2016,63338,57554,63963,67770,79023,81879,87576,85528,86128,77610,70705,74643,895717
Nogliki,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Norilsk,2016,30834,25720,28938,36607,47015,57457,59004,61042,55679,42875,33014,43471,521656
Norilьsk (But),2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Noyabrsk,2016,14143,13106,14212,15205,16837,19607,21812,22176,17293,14766,15073,16748,200978
Нюрба,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Nyagan,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Luengo,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Olekminsk,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
SUV,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
ohm,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Omolon,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Omsk (central),2016,53970,49814,56546,52305,58863,78747,96814,104526,85433,63269,56567,68805,825659
Omsukçan,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Eagle (South),2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Orenburg (central),2016,30817,27511,30498,32384,37552,45270,54188,58598,46958,42773,39008,40505,486062
Orsk,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Ossora,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Okha,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Okhotsk,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Palana,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Pahachi,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Pevek,2016,896,1284,1797,1864,1969,2177,2048,2168,3048,1709,2704,1969,23633
Penza,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Perm (Bakharevka),2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Perm (Bolshoye Savino),2016,76822,72982,80957,78978,86919,109909,118072,120608,107636,98782,85968,94330,1131963
Gerbil (Kolguev Island),2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Petrozavodsk (Besovets),2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Petrozavodsk (Sands),2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Petropavlovsk (Yelizovo),2016,34291,30761,36175,39090,45910,59627,77233,82036,70322,55619,42177,52113,625354
Pechora,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
pioneer,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Plast,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Podkamyennaya Tunguska,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Pauline Osipenko,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Polar,2016,3755,3552,3725,4087,4937,6128,6477,6533,6056,4450,4152,4896,58748
Providence (Providence Harbor),2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Pskov (crosses),2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Rogachevo (Amderma-2),2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Rostov-on-Don,2016,136594,126220,136329,145699,172718,187573,205961,211190,203029,187431,186745,172681,2072170
Sabetta,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Sakkırır,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Salekhard,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Samara (Kurumoch),2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Samara (Smyshlyaevka),2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Sangar,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Petersburg (Pulkovo),2016,784263,702332,827881,899125,1108772,1373482,1551310,1552333,1385050,1146217,952235,1116636,13399636
Saransk,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Saratov (central),2016,28726,29300,30433,32544,32829,40394,47568,48575,41995,35075,31939,36307,435685
Saskılah,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Svetlogorsk,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
North-Yenisei,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
North Even,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Seymçan,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Simferopol,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
sheaf,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Sobolevo,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Sovetskaya Gavan,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Soviet,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Solovki,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Sochi,2016,283345,293809,316001,281943,360346,613044,788672,812659,676622,357170,241143,456796,5481550
Среднеколымск,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Stavropol (Shpakovskoye),2016,25140,24730,26540,25795,25997,30307,34383,33705,27209,26251,24341,27673,332071
Stary Oskol,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Strezhevoy,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Samsearn,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Surgut,2016,95686,86390,98844,103948,119351,145264,169722,167131,140463,124777,114274,124168,1490018
Syktyvkar,2016,31225,26382,27937,28919,33243,45606,54611,53917,43871,36249,33552,37774,453286
Taganrog (Southern),2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Taz,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Таксимо,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Talakan,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Tambov,2016,892,1291,1311,1532,1893,2177,2651,2536,2511,2232,2141,1924,23091
Container,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Tarko-Sale,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Shalym,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Tigil,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Tiksi,2016,754,1215,1183,1180,1558,2180,2135,2217,1997,1521,1102,1549,18591
Tilichiki,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Tobolsk,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Tolka,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Tomsk (Bogashevo),2016,30570,27584,30466,35145,39032,53579,62727,61939,55024,51813,46736,44965,539580
Troitsky-Pechora,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Tugur,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Travel (Mountain),2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Turukhansk,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Ust-Tsilma,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyumen (Plekhanovo),2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyumen (Roschino),2016,88774,85801,94186,100575,116461,146328,178043,182425,152562,129815,119488,126769,1521227
Uda,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Ulan Ude (Mukhino),2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Ulyanovsk (Barataevka),2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Ulyanovsk (East),2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Nyagan,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Flora,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Urengoy,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Usinsk,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Ust-Kamchatsk,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Ust-Kara,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Ust-Kuyga,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Ust-Kut,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Ust-Maya,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Ust-Nera,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Ust-Khairyuzovo,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Ust-Tsilma,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Ufa,2016,152683,150393,160835,156943,182466,213608,239787,257228,233816,200922,171124,192710,2312515
Ukhta,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Khabarovsk (MVL),2016,144,143,207,728,424,246,317,280,331,477,495,345,4137
Khabarovsk (New),2016,105838,107920,122748,126053,139427,170874,199816,203562,181273,157435,134484,149948,1799378
royal,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Khanty-Mansiysk,2016,12185,12165,14608,15423,15104,20779,24959,27045,20577,19054,19440,18304,219643
Harwell,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Khatanga,2016,824,1037,1009,1642,2358,2339,2151,3502,2232,2098,2149,1940,23281
Herpuchi,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Honuu (Girl),2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Khorey Vere,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
remedy,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Cheboksary,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Chyegdomyn,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Chelyabinsk (Balandino),2016,90210,83984,88901,83245,91899,108966,118607,118150,112181,101215,93558,99174,1190090
Cherepovets,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Cherskiy,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Chizha,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Reads (tub),2016,17693,16243,17814,20389,23715,32796,42850,42792,31060,27380,21515,26750,320997
Çokurdah,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Çumikan,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Şarıpovo,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Shakhtars'k,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Şoyna,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Shushenskoe,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Egvekinot (Bay Cross),2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Ekimçan,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Elista,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
ESSO,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
South kurilsk (Mendeleevo),2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Yuzhno-(Khomutovo),2016,66608,66495,72613,62453,72179,86512,104466,101288,89898,77426,69017,78996,947951
Yakutsk,2016,43390,42573,54505,62886,62138,97492,111995,119348,87092,70995,58681,73736,884831
Yakutsk (Magan),2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Yamburg,2016,5691,5699,5320,5641,5164,4839,4950,4952,5110,5137,6276,5344,64123
Yaroslavl (Tunoshna),2016,615,626,335,311,81,1906,2987,3240,2192,1068,1318,1334,16013
Yartsevo,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
Abakan,2015,12008,10324,11273,12265,15559,20670,24157,24219,19813,16601,12528,16311,195728
Aikhal,2015,0,0,0,0,0,0,0,0,0,0,0,0,0
Loss,2015,0,0,0,0,0,0,0,0,0,0,0,0,0
Amderma,2015,0,0,0,0,0,0,0,0,0,0,0,0,0
Anadyr,2015,2930,3219,5524,5459,6046,9099,10269,10189,8117,8030,7738,6965,83585
Anapa (Vitjazevo),2015,22417,19488,26754,32719,63095,186977,259284,286504,171254,50612,29642,104431,1253177
Antypayuta,2015,0,0,0,0,0,0,0,0,0,0,0,0,0
Apatite (Khibiny),2015,0,0,0,0,0,0,0,0,0,0,0,0,0
Arkhangelsk (Vaskovo),2015,0,0,0,0,0,0,0,0,0,0,0,0,0
Arkhangelsk (Talagy),2015,47458,45663,59443,59491,69598,85319,91553,91017,75579,65440,55497,67823,813881
Astrakhan (Narimanovo),2015,28015,26059,30218,52820,58857,47322,55905,61864,57812,53122,36701,46245,554940
Achinsk,2015,0,0,0,0,0,0,0,0,0,0,0,0,0
Trip,2015,0,0,0,0,0,0,0,0,0,0,0,0,0
Auctions,2015,0,0,0,0,0,0,0,0,0,0,0,0,0
Baykit,2015,0,0,0,0,0,0,0,0,0,0,0,0,0
Barnaul (Titov Name),2015,0,0,0,0,0,0,0,0,0,0,0,0,0
In Salah,2015,0,0,0,0,0,0,0,0,0,0,0,0,0
white Mountain,2015,0,0,0,0,0,0,0,0,0,0,0,0,0
Belgorod,2015,0,0,0,0,0,0,0,0,0,0,0,0,0
Novy Urengoy,2015,4334,3862,5023,7384,7250,6991,8065,7723,5749,6611,6927,6356,76275
Belushi,2015,0,0,0,0,0,0,0,0,0,0,0,0,0
Usinsk,2015,0,0,0,0,0,0,0,0,0,0,0,0,0
"Beringovsky (Branch PCF ""A / P Chukotka"")",2015,0,0,0,0,0,0,0,0,0,0,0,0,0
Biisk,2015,0,0,0,0,0,0,0,0,0,0,0,0,0
Blagoveshchensk,2015,23577,21600,24913,23659,25881,33094,44724,47597,35748,28506,23050,30214,362563
Bovanenkovo,2015,0,0,0,0,0,0,0,0,0,0,0,0,0
Bogorodskoe,2015,0,0,0,0,0,0,0,0,0,0,0,0,0
Boguçanı,2015,0,0,0,0,0,0,0,0,0,0,0,0,0
